Ticker,Name,Dividend_1_Date,Dividend_1_Amount,Dividend_2_Date,Dividend_2_Amount,Dividend_3_Date,Dividend_3_Amount,Dividend_4_Date,Dividend_4_Amount,Dividend_5_Date,Dividend_5_Amount,Dividend_6_Date,Dividend_6_Amount
0016.HK,SHK PPT,2024-03-12,0.95,2024-11-11,2.8,2025-03-12,0.95,,,,,,
0017.HK,NEW WORLD DEV,2024-03-20,0.2,,,,,,,,,,
0006.HK,POWER ASSETS,2024-05-27,2.04,2024-09-11,0.78,2025-05-26,2.04,,,,,,
3481.TW,INNOLUX CORPORATION,2024-08-15,1.2,2025-05-22,1.0,,,,,,,,
2301.TW,LITE-ON TECHNOLOGY CORP,2024-03-27,2.506,2024-08-19,2.0,2025-03-20,2.5066,,,,,,
0700.HK,TENCENT,2024-05-17,3.4,2025-05-16,4.5,,,,,,,,
0823.HK,LINK REIT,2024-06-27,1.3257,2024-11-18,1.3489,,,,,,,,
2474.TW,CATCHER TECHNOLOGY,2024-07-04,5.0,2024-12-10,7.5,,,,,,,,
0696.HK,TRAVELSKY TECH,2024-06-26,0.1756,,,,,,,,,,
0386.HK,SINOPEC CORP,2024-07-08,0.2194,2024-09-05,0.1593,,,,,,,,
0966.HK,CHINA TAIPING,2024-07-10,0.3,,,,,,,,,,
2338.HK,WEICHAI POWER,2024-05-31,0.3225,2024-09-20,0.4061,,,,,,,,
4938.TW,PEGATRON CORPORATION,2024-06-27,4.0006,,,,,,,,,,
0175.HK,GEELY AUTO,2024-06-11,0.22,,,,,,,,,,
JD,"JD.com, Inc.",2024-04-04,0.76,2025-04-08,1.0,,,,,,,,
1186.HK,CHINA RAIL CONS,2024-07-15,0.3842,,,,,,,,,,
3008.TW,LARGAN PRECISION CO,2024-03-21,41.0,2024-08-15,40.0,2025-03-20,57.5,,,,,,
0135.HK,KUNLUN ENERGY,2024-06-03,0.3048,2024-09-09,0.1769,,,,,,,,
BABA,Alibaba Group Holding Limited,2024-06-13,1.66,,,,,,,,,,
2020.HK,ANTA SPORTS,2024-05-13,1.15,2024-09-09,1.18,2025-05-12,1.18,,,,,,
0390.HK,CHINA RAILWAY,2024-07-17,0.2301,,,,,,,,,,
3968.HK,CM BANK,2024-07-03,2.162,,,,,,,,,,
0941.HK,CHINA MOBILE,2024-06-06,2.4,2024-09-02,2.6,,,,,,,,
1800.HK,CHINA COMM CONS,2024-06-19,0.3226,2024-12-03,0.1535,,,,,,,,
2353.TW,ACER INC,2024-06-20,1.6,,,,,,,,,,
0883.HK,CNOOC,2024-06-13,0.66,2024-09-12,0.74,,,,,,,,
1038.HK,CKI HOLDINGS,2024-05-27,1.85,2024-09-12,0.72,2025-05-26,1.86,,,,,,
1972.HK,SWIREPROPERTIES,2024-04-02,0.72,2024-09-04,0.34,2025-04-01,0.76,,,,,,
2357.HK,AVICHINA,2024-05-29,0.0967,2025-05-22,0.0884,,,,,,,,
2317.TW,HON HAI PRECISION INDUSTRY,2024-07-02,5.4,,,,,,,,,,
0552.HK,CHINACOMSERVICE,2024-06-28,0.2386,,,,,,,,,,
0992.HK,LENOVO GROUP,2024-07-31,0.3,2024-11-27,0.085,,,,,,,,
2328.HK,PICC P&C,2024-07-05,0.5359,2024-10-31,0.2269,,,,,,,,
0659.HK,CTF SERVICES,2024-03-08,1.79,2024-11-26,0.35,2025-03-19,0.3,,,,,,
3328.HK,BANKCOMM,2024-07-02,0.4111,2025-01-16,0.1967,2025-04-11,0.2151,,,,,,
2892.TW,FIRST FINANCIAL HOLDING CO LTD,2024-08-08,0.85,,,,,,,,,,
1199.HK,COSCO SHIP PORT,2024-04-15,0.155,2024-09-11,0.122,2025-04-03,0.142,,,,,,
1088.HK,CHINA SHENHUA,2024-06-27,2.491,,,,,,,,,,
2601.HK,CPIC,2024-06-12,1.1214,,,,,,,,,,
3311.HK,CHINA STATE CON,2024-06-17,0.285,2024-09-16,0.33,,,,,,,,
0101.HK,HANG LUNG PPT,2024-05-08,0.6,2024-08-14,0.12,2025-05-07,0.4,,,,,,
0586.HK,CONCH VENTURE,2024-07-04,0.2,2024-10-17,0.1,,,,,,,,
2379.TW,REALTEK SEMICONDUCTOR CORP,2024-09-05,15.5,,,,,,,,,,
1919.HK,COSCO SHIP HOLD,2024-05-31,0.2526,2024-10-08,0.5691,2025-05-30,1.122,,,,,,
2834.TW,TAIWAN BUSINESS BANK,2024-08-08,0.2,,,,,,,,,,
3034.TW,NOVATEK MICROELECTRONICS,2024-07-10,32.0,,,,,,,,,,
2883.TW,KGI FINANCIAL HOLDING CO LTD,2024-07-01,0.5006,,,,,,,,,,
VIPS,Vipshop Holdings Limited,2024-03-14,0.43,,,,,,,,,,
2238.HK,GAC GROUP,2024-06-03,0.1099,2024-09-12,0.0328,,,,,,,,
0004.HK,WHARF HOLDINGS,2024-04-09,0.2,2024-08-27,0.2,2025-04-03,0.2,,,,,,
1997.HK,WHARF REIC,2024-04-05,0.61,2024-08-23,0.64,2025-04-03,0.6,,,,,,
0817.HK,CHINA JINMAO,2024-09-13,0.03,,,,,,,,,,
0012.HK,HENDERSON LAND,2024-06-05,1.3,2024-09-03,0.5,,,,,,,,
AAPL,Apple Inc.,2024-02-09,0.24,2024-05-10,0.25,2024-08-12,0.25,2024-11-08,0.25,2025-02-10,0.25,2025-05-12,0.26
MSFT,Microsoft Corporation,2024-02-14,0.75,2024-05-15,0.75,2024-08-15,0.75,2024-11-21,0.83,2025-02-20,0.83,2025-05-15,0.83
ABT,Abbott Laboratories,2024-01-11,0.55,2024-04-12,0.55,2024-07-15,0.55,2024-10-15,0.55,2025-01-15,0.59,2025-04-15,0.59
PFE,"Pfizer, Inc.",2024-01-25,0.42,2024-05-09,0.42,2024-07-26,0.42,2024-11-08,0.42,2025-01-24,0.43,2025-05-09,0.43
MU,"Micron Technology, Inc.",2024-03-28,0.115,2024-07-08,0.115,2024-10-07,0.115,2024-12-30,0.115,2025-03-31,0.115,,
CHE,Chemed Corp,2024-02-23,0.4,2024-05-30,0.4,2024-08-12,0.5,2024-11-18,0.5,2025-02-24,0.5,2025-05-29,0.5
ADI,"Analog Devices, Inc.",2024-03-04,0.92,2024-06-04,0.92,2024-09-03,0.92,2024-12-09,0.92,2025-03-04,0.99,,
0142.HK,FIRST PACIFIC,2024-06-18,0.125,2024-09-05,0.12,,,,,,,,
AMGN,Amgen Inc.,2024-02-15,2.25,2024-05-16,2.25,2024-08-16,2.25,2024-11-18,2.25,2025-02-14,2.38,2025-05-16,2.38
APD,"Air Products and Chemicals, Inc",2024-03-28,1.77,2024-07-01,1.77,2024-10-01,1.77,2025-01-02,1.77,2025-04-01,1.79,,
AVGO,Broadcom Inc.,2024-03-20,0.525,2024-06-24,0.525,2024-09-19,0.53,2024-12-23,0.59,2025-03-20,0.59,,
CMCSA,Comcast Corporation,2024-01-02,0.29,2024-04-02,0.31,2024-07-03,0.31,2024-10-02,0.31,2025-01-08,0.31,2025-04-02,0.33
DIS,Walt Disney Company (The),2024-07-08,0.45,2024-12-16,0.5,,,,,,,,
DOW,Dow Inc.,2024-02-28,0.7,2024-05-31,0.7,2024-08-30,0.7,2024-11-29,0.7,2025-02-28,0.7,2025-05-30,0.7
EMR,Emerson Electric Company,2024-02-15,0.525,2024-05-16,0.525,2024-08-16,0.525,2024-11-15,0.528,2025-02-14,0.528,2025-05-16,0.528
GOOGL,Alphabet Inc.,2024-06-10,0.2,2024-09-09,0.2,2024-12-09,0.2,2025-03-10,0.2,,,,
HON,Honeywell International Inc.,2024-02-29,1.08,2024-05-16,1.08,2024-08-16,1.08,2024-11-15,1.13,2025-02-28,1.13,2025-05-16,1.13
LMT,Lockheed Martin Corporation,2024-02-29,3.15,2024-06-03,3.15,2024-09-03,3.15,2024-12-02,3.3,2025-03-03,3.3,,
MSI,"Motorola Solutions, Inc.",2024-03-14,0.98,2024-06-14,0.98,2024-09-13,0.98,2024-12-13,1.09,2025-03-14,1.09,,
ORCL,Oracle Corporation,2024-01-10,0.4,2024-04-09,0.4,2024-07-11,0.4,2024-10-10,0.4,2025-01-10,0.4,2025-04-10,0.5
PAYC,"Paycom Software, Inc.",2024-03-01,0.375,2024-05-24,0.375,2024-08-26,0.375,2024-11-25,0.375,2025-03-10,0.375,2025-05-27,0.375
PRGO,Perrigo Company plc,2024-03-07,0.276,2024-05-31,0.276,2024-08-30,0.276,2024-11-29,0.276,2025-03-07,0.29,,
QCOM,QUALCOMM Incorporated,2024-02-28,0.8,2024-05-30,0.85,2024-09-05,0.85,2024-12-05,0.85,2025-03-06,0.85,,
SAIC,Science Applications Internatio,2024-01-11,0.37,2024-04-11,0.37,2024-07-12,0.37,2024-10-11,0.37,2025-01-10,0.37,2025-04-11,0.37
SYK,Stryker Corporation,2024-03-27,0.8,2024-06-28,0.8,2024-09-30,0.8,2024-12-31,0.84,2025-03-31,0.84,,
UHS,"Universal Health Services, Inc.",2024-02-29,0.2,2024-06-03,0.2,2024-09-03,0.2,2024-12-03,0.2,2025-03-03,0.2,,
ZTS,Zoetis Inc.,2024-01-18,0.432,2024-04-18,0.432,2024-07-18,0.432,2024-10-31,0.432,2025-01-21,0.5,2025-04-21,0.5
036570.KS,NCsoft,2025-03-21,1460.0,,,,,,,,,,
034730.KS,SK,2024-03-29,3500.0,2024-08-13,1500.0,2025-03-31,5500.0,,,,,,
009150.KS,SamsungElecMech,2024-12-27,1800.0,,,,,,,,,,
018260.KS,SAMSUNG SDS,2024-12-27,2900.0,,,,,,,,,,
015760.KS,KEPCO,2024-12-27,213.0,,,,,,,,,,
028260.KS,SAMSUNG C&T,2024-12-27,2600.0,,,,,,,,,,
105560.KS,KBFinancialGroup,2024-02-28,1530.0,2024-03-28,784.0,2024-06-27,791.0,2024-09-27,795.0,2025-02-27,804.0,2025-05-09,912.0
086790.KS,HANAFINANCIALGR,2024-02-27,1600.0,2024-03-28,600.0,2024-06-27,600.0,2024-09-27,600.0,2025-02-27,1800.0,2025-05-09,906.0
017670.KS,SKTelecom,2024-03-28,830.0,2024-06-27,830.0,2024-09-27,830.0,2025-02-27,1050.0,2025-05-29,830.0,,
012750.KS,S-1,2024-12-27,2700.0,,,,,,,,,,
009240.KS,Hanssem,2024-03-28,750.0,2024-06-27,1580.0,2024-09-27,6200.0,,,,,,
000210.KS,DL,2024-12-27,1000.0,,,,,,,,,,
032640.KS,LG Uplus,2024-08-08,250.0,2025-03-28,400.0,,,,,,,,
055550.KS,ShinhanGroup,2024-02-22,525.0,2024-03-28,540.0,2024-06-27,540.0,2024-09-27,540.0,2025-02-20,540.0,2025-04-30,570.0
024110.KS,IBK,2024-03-28,984.0,2025-03-28,1065.0,,,,,,,,
001060.KS,JWPHARMA,2024-12-27,450.0,,,,,,,,,,
068270.KS,Celltrion,2024-12-27,750.0,,,,,,,,,,
006360.KS,GS E&C,2025-02-27,300.0,,,,,,,,,,
000990.KS,DB HiTek,2025-03-05,1230.0,,,,,,,,,,
096770.KS,SK Innovation,2025-04-01,2000.0,,,,,,,,,,
XOM,Exxon Mobil Corporation,2024-02-13,0.95,2024-05-14,0.95,2024-08-15,0.95,2024-11-14,0.99,2025-02-12,0.99,2025-05-15,0.99
GLW,Corning Incorporated,2024-02-28,0.28,2024-05-31,0.28,2024-08-30,0.28,2024-11-15,0.28,2025-02-28,0.28,2025-05-30,0.28
VZ,Verizon Communications Inc.,2024-01-09,0.665,2024-04-09,0.665,2024-07-10,0.665,2024-10-10,0.678,2025-01-10,0.678,2025-04-10,0.678
HPE,Hewlett Packard Enterprise Comp,2024-03-14,0.13,2024-06-18,0.13,2024-09-19,0.13,2024-12-20,0.13,2025-03-21,0.13,,
CHRW,"C.H. Robinson Worldwide, Inc.",2024-02-29,0.61,2024-06-07,0.61,2024-09-06,0.62,2024-12-06,0.62,2025-03-07,0.62,,
DUK,Duke Energy Corporation (Holdin,2024-02-15,1.025,2024-05-16,1.025,2024-08-16,1.045,2024-11-15,1.045,2025-02-14,1.045,2025-05-16,1.045
GOOG,Alphabet Inc.,2024-06-10,0.2,2024-09-09,0.2,2024-12-09,0.2,2025-03-10,0.2,,,,
T,AT&T Inc.,2024-01-09,0.278,2024-04-09,0.278,2024-07-10,0.278,2024-10-10,0.278,2025-01-10,0.278,2025-04-10,0.278
APH,Amphenol Corporation,2024-03-18,0.11,2024-06-18,0.11,2024-09-17,0.165,2024-12-17,0.165,2025-03-18,0.165,,
BAC,Bank of America Corporation,2024-02-29,0.24,2024-06-07,0.24,2024-09-06,0.26,2024-12-06,0.26,2025-03-07,0.26,,
CRM,"Salesforce, Inc.",2024-03-13,0.4,2024-07-09,0.4,2024-09-18,0.4,2024-12-18,0.4,2025-04-10,0.416,,
CSCO,"Cisco Systems, Inc.",2024-01-03,0.39,2024-04-03,0.4,2024-07-05,0.4,2024-10-02,0.4,2025-01-03,0.4,2025-04-03,0.41
CVX,Chevron Corporation,2024-02-15,1.63,2024-05-16,1.63,2024-08-19,1.63,2024-11-18,1.63,2025-02-14,1.71,2025-05-19,1.71
DFS,Discover Financial Services,2024-02-21,0.7,2024-05-22,0.7,2024-08-22,0.7,2024-11-21,0.7,2025-02-20,0.7,2025-05-23,0.7
DG,Dollar General Corporation,2024-01-08,0.59,2024-04-08,0.59,2024-07-09,0.59,2024-10-08,0.59,2025-01-07,0.59,2025-04-08,0.59
EXPE,"Expedia Group, Inc.",2025-03-06,0.4,2025-05-29,0.4,,,,,,,,
GRMN,Garmin Ltd.,2024-03-14,0.73,2024-06-17,0.75,2024-09-13,0.75,2024-12-13,0.75,2025-03-14,0.75,,
GS,"Goldman Sachs Group, Inc. (The)",2024-02-28,2.75,2024-05-30,2.75,2024-08-30,3.0,2024-12-02,3.0,2025-02-28,3.0,2025-05-30,3.0
HCA,"HCA Healthcare, Inc.",2024-03-14,0.66,2024-06-14,0.66,2024-09-16,0.66,2024-12-13,0.66,2025-03-17,0.72,,
INTC,Intel Corporation,2024-02-06,0.125,2024-05-06,0.125,2024-08-07,0.125,,,,,,
INTU,Intuit Inc.,2024-01-09,0.9,2024-04-09,0.9,2024-07-10,0.9,2024-10-10,1.04,2025-01-10,1.04,2025-04-10,1.04
JPM,JP Morgan Chase & Co.,2024-01-04,1.05,2024-04-04,1.15,2024-07-05,1.15,2024-10-04,1.25,2025-01-06,1.25,2025-04-04,1.4
META,"Meta Platforms, Inc.",2024-02-21,0.5,2024-06-14,0.5,2024-09-16,0.5,2024-12-16,0.5,2025-03-14,0.525,,
MS,Morgan Stanley,2024-01-30,0.85,2024-04-29,0.85,2024-07-31,0.925,2024-10-31,0.925,2025-01-31,0.925,2025-04-30,0.925
NWL,Newell Brands Inc.,2024-02-28,0.07,2024-05-31,0.07,2024-08-30,0.07,2024-11-29,0.07,2025-02-28,0.07,2025-05-30,0.07
NWSA,News Corporation,2024-03-12,0.1,2024-09-11,0.1,2025-03-12,0.1,,,,,,
PBI,Pitney Bowes Inc.,2024-02-08,0.05,2024-05-22,0.05,2024-08-22,0.05,2024-11-18,0.05,2025-02-21,0.06,2025-05-19,0.07
RCL,Royal Caribbean Cruises Ltd.,2024-09-20,0.4,2024-12-27,0.55,2025-03-07,0.75,,,,,,
SYF,Synchrony Financial,2024-02-02,0.25,2024-05-03,0.25,2024-08-05,0.25,2024-11-04,0.25,2025-02-03,0.25,2025-05-05,0.3
TGT,Target Corporation,2024-02-20,1.1,2024-05-14,1.1,2024-08-21,1.12,2024-11-20,1.12,2025-02-12,1.12,2025-05-14,1.12
VRSK,"Verisk Analytics, Inc.",2024-03-14,0.39,2024-06-14,0.39,2024-09-13,0.39,2024-12-13,0.39,2025-03-14,0.45,,
VRSN,"VeriSign, Inc.",2025-05-19,0.77,,,,,,,,,,
WFC,Wells Fargo & Company,2024-02-01,0.35,2024-05-09,0.35,2024-08-09,0.4,2024-11-08,0.4,2025-02-07,0.4,2025-05-09,0.4
004000.KS,LOTTE Fine Chem,2025-03-28,1400.0,,,,,,,,,,
KMB,Kimberly-Clark Corporation,2024-03-07,1.22,2024-06-07,1.22,2024-09-06,1.22,2024-12-06,1.22,2025-03-07,1.26,,
2382.TW,QUANTA COMPUTER,2024-04-12,9.0,,,,,,,,,,
TMO,Thermo Fisher Scientific Inc,2024-03-14,0.39,2024-06-14,0.39,2024-09-13,0.39,2024-12-13,0.39,2025-03-14,0.43,,
267250.KS,HD HYUNDAI,2024-03-28,900.0,2024-06-27,900.0,2024-09-27,900.0,2025-02-27,900.0,2025-03-28,900.0,,
