Ticker,Name,Dividend_1_Date,Dividend_1_Amount,Dividend_2_Date,Dividend_2_Amount,Dividend_3_Date,Dividend_3_Amount,Dividend_4_Date,Dividend_4_Amount,Dividend_5_Date,Dividend_5_Amount,Dividend_6_Date,Dividend_6_Amount,Standardized_Name
0941.HK,CHINA MOBILE,2024-06-06,2.4,2024-09-02,2.6,,,,,,,,,China Mobile Limited (NEEDS REVIEW)
1800.HK,CHINA COMM CONS,2024-06-19,0.3226,2024-12-03,0.1535,,,,,,,,,CHINA COMMUNICATIONS CONST-H (NEEDS REVIEW)
0883.HK,CNOOC,2024-06-13,0.66,2024-09-12,0.74,,,,,,,,,CNOOC Ltd (NEEDS REVIEW)
1038.HK,CKI HOLDINGS,2024-05-27,1.85,2024-09-12,0.72,2025-05-26,1.86,,,,,,,CHINA COSCO HOLDINGS-H (NEEDS REVIEW)
2357.HK,AVICHINA,2024-05-29,0.0967,2025-05-22,0.0884,,,,,,,,,AIR CHINA LTD-H (NEEDS REVIEW)
0552.HK,CHINACOMSERVICE,2024-06-28,0.2386,,,,,,,,,,,ServiceNow Inc  (NEEDS REVIEW)
0992.HK,LENOVO GROUP,2024-07-31,0.3,2024-11-27,0.085,,,,,,,,,LENOVO GROUP LTD (NEEDS REVIEW)
0659.HK,CTF SERVICES,2024-03-08,1.79,2024-11-26,0.35,2025-03-19,0.3,,,,,,,ServiceNow Inc  (NEEDS REVIEW)
3328.HK,BANKCOMM,2024-07-02,0.4111,2025-01-16,0.1967,2025-04-11,0.2151,,,,,,,M&T Bank Corp (NEEDS REVIEW)
1199.HK,COSCO SHIP PORT,2024-04-15,0.155,2024-09-11,0.122,2025-04-03,0.142,,,,,,,COSCO SHIPPING Ports Ltd (NEEDS REVIEW)
1088.HK,CHINA SHENHUA,2024-06-27,2.491,,,,,,,,,,,CHINA SHENHUA ENERGY CO-H (NEEDS REVIEW)
3311.HK,CHINA STATE CON,2024-06-17,0.285,2024-09-16,0.33,,,,,,,,,CHINA TELECOM CORP LTD-H (NEEDS REVIEW)
0101.HK,HANG LUNG PPT,2024-05-08,0.6,2024-08-14,0.12,2025-05-07,0.4,,,,,,,HANG LUNG PROPERTIES LTD (NEEDS REVIEW)
0586.HK,CONCH VENTURE,2024-07-04,0.2,2024-10-17,0.1,,,,,,,,,Accenture PLC (NEEDS REVIEW)
1919.HK,COSCO SHIP HOLD,2024-05-31,0.2526,2024-10-08,0.5691,2025-05-30,1.122,,,,,,,CHINA COSCO HOLDINGS-H (NEEDS REVIEW)
2883.TW,KGI FINANCIAL HOLDING CO LTD,2024-07-01,0.5006,,,,,,,,,,,YUANTA FINANCIAL HOLDING CO. LTD. (NEEDS REVIEW)
VIPS,Vipshop Holdings Limited,2024-03-14,0.43,,,,,,,,,,,VIPSHOP HOLDINGS (NEEDS REVIEW)
2238.HK,GAC GROUP,2024-06-03,0.1099,2024-09-12,0.0328,,,,,,,,,AIA Group Ltd (NEEDS REVIEW)
0004.HK,WHARF HOLDINGS,2024-04-09,0.2,2024-08-27,0.2,2025-04-03,0.2,,,,,,,WHARF HOLDINGS LTD (NEEDS REVIEW)
0817.HK,CHINA JINMAO,2024-09-13,0.03,,,,,,,,,,,CHINA JINMAO HOLDINGS GROUP (NEEDS REVIEW)
0012.HK,HENDERSON LAND,2024-06-05,1.3,2024-09-03,0.5,,,,,,,,,HENDERSON LAND DEVELOPMENT (NEEDS REVIEW)
MSFT,Microsoft Corporation,2024-02-14,0.75,2024-05-15,0.75,2024-08-15,0.75,2024-11-21,0.83,2025-02-20,0.83,2025-05-15,0.83,Microsoft Corp (NEEDS REVIEW)
AVGO,Broadcom Inc.,2024-03-20,0.525,2024-06-24,0.525,2024-09-19,0.53,2024-12-23,0.59,2025-03-20,0.59,,,Broadcom Ltd (NEEDS REVIEW)
CMCSA,Comcast Corporation,2024-01-02,0.29,2024-04-02,0.31,2024-07-03,0.31,2024-10-02,0.31,2025-01-08,0.31,2025-04-02,0.33,Cigna Corporation (NEEDS REVIEW)
DIS,Walt Disney Company (The),2024-07-08,0.45,2024-12-16,0.5,,,,,,,,,Walt Disney Co/The (NEEDS REVIEW)
DOW,Dow Inc.,2024-02-28,0.7,2024-05-31,0.7,2024-08-30,0.7,2024-11-29,0.7,2025-02-28,0.7,2025-05-30,0.7,Coty Inc (NEEDS REVIEW)
EMR,Emerson Electric Company,2024-02-15,0.525,2024-05-16,0.525,2024-08-16,0.525,2024-11-15,0.528,2025-02-14,0.528,2025-05-16,0.528,Emerson Electric Co (NEEDS REVIEW)
LMT,Lockheed Martin Corporation,2024-02-29,3.15,2024-06-03,3.15,2024-09-03,3.15,2024-12-02,3.3,2025-03-03,3.3,,,Lockheed Martin Corp (NEEDS REVIEW)
ORCL,Oracle Corporation,2024-01-10,0.4,2024-04-09,0.4,2024-07-11,0.4,2024-10-10,0.4,2025-01-10,0.4,2025-04-10,0.5,Oracle Corp (NEEDS REVIEW)
PRGO,Perrigo Company plc,2024-03-07,0.276,2024-05-31,0.276,2024-08-30,0.276,2024-11-29,0.276,2025-03-07,0.29,,,Perrigo Co PLC (NEEDS REVIEW)
QCOM,QUALCOMM Incorporated,2024-02-28,0.8,2024-05-30,0.85,2024-09-05,0.85,2024-12-05,0.85,2025-03-06,0.85,,,QUALCOMM Inc (NEEDS REVIEW)
SAIC,Science Applications Internatio,2024-01-11,0.37,2024-04-11,0.37,2024-07-12,0.37,2024-10-11,0.37,2025-01-10,0.37,2025-04-11,0.37,Science Applications International Corp  (NEEDS REVIEW)
SYK,Stryker Corporation,2024-03-27,0.8,2024-06-28,0.8,2024-09-30,0.8,2024-12-31,0.84,2025-03-31,0.84,,,S-1 CORPORATION (NEEDS REVIEW)
036570.KS,NCsoft,2025-03-21,1460.0,,,,,,,,,,,NCSOFT CORP (NEEDS REVIEW)
018260.KS,SAMSUNG SDS,2024-12-27,2900.0,,,,,,,,,,,SAMSUNG SDS CO LTD (NEEDS REVIEW)
015760.KS,KEPCO,2024-12-27,213.0,,,,,,,,,,,KeyCorp (NEEDS REVIEW)
028260.KS,SAMSUNG C&T,2024-12-27,2600.0,,,,,,,,,,,SAMSUNG C&T CORP (NEEDS REVIEW)
105560.KS,KBFinancialGroup,2024-02-28,1530.0,2024-03-28,784.0,2024-06-27,791.0,2024-09-27,795.0,2025-02-27,804.0,2025-05-09,912.0,HANA FINANCIAL GROUP (NEEDS REVIEW)
086790.KS,HANAFINANCIALGR,2024-02-27,1600.0,2024-03-28,600.0,2024-06-27,600.0,2024-09-27,600.0,2025-02-27,1800.0,2025-05-09,906.0,HANA FINANCIAL GROUP (NEEDS REVIEW)
009240.KS,Hanssem,2024-03-28,750.0,2024-06-27,1580.0,2024-09-27,6200.0,,,,,,,HANON SYSTEMS (NEEDS REVIEW)
032640.KS,LG Uplus,2024-08-08,250.0,2025-03-28,400.0,,,,,,,,,LG UPLUS CORP (NEEDS REVIEW)
068270.KS,Celltrion,2024-12-27,750.0,,,,,,,,,,,"Celltrion, Inc. (NEEDS REVIEW)"
000990.KS,DB HiTek,2025-03-05,1230.0,,,,,,,,,,,DB HiTek Co Ltd (NEEDS REVIEW)
096770.KS,SK Innovation,2025-04-01,2000.0,,,,,,,,,,,SK INNOVATION CO LTD (NEEDS REVIEW)
XOM,Exxon Mobil Corporation,2024-02-13,0.95,2024-05-14,0.95,2024-08-15,0.95,2024-11-14,0.99,2025-02-12,0.99,2025-05-15,0.99,Exxon Mobil Corp (NEEDS REVIEW)
GLW,Corning Incorporated,2024-02-28,0.28,2024-05-31,0.28,2024-08-30,0.28,2024-11-15,0.28,2025-02-28,0.28,2025-05-30,0.28,Corning Inc (NEEDS REVIEW)
DUK,Duke Energy Corporation (Holdin,2024-02-15,1.025,2024-05-16,1.025,2024-08-16,1.045,2024-11-15,1.045,2025-02-14,1.045,2025-05-16,1.045,Duke Energy Corp (NEEDS REVIEW)
T,AT&T Inc.,2024-01-09,0.278,2024-04-09,0.278,2024-07-10,0.278,2024-10-10,0.278,2025-01-10,0.278,2025-04-10,0.278,AT&T Inc (NEEDS REVIEW)
APH,Amphenol Corporation,2024-03-18,0.11,2024-06-18,0.11,2024-09-17,0.165,2024-12-17,0.165,2025-03-18,0.165,,,Amphenol Corp (NEEDS REVIEW)
BAC,Bank of America Corporation,2024-02-29,0.24,2024-06-07,0.24,2024-09-06,0.26,2024-12-06,0.26,2025-03-07,0.26,,,Bank of America Corp (NEEDS REVIEW)
CVX,Chevron Corporation,2024-02-15,1.63,2024-05-16,1.63,2024-08-19,1.63,2024-11-18,1.63,2025-02-14,1.71,2025-05-19,1.71,Cigna Corporation (NEEDS REVIEW)
DG,Dollar General Corporation,2024-01-08,0.59,2024-04-08,0.59,2024-07-09,0.59,2024-10-08,0.59,2025-01-07,0.59,2025-04-08,0.59,Dollar General Corp (NEEDS REVIEW)
EXPE,"Expedia Group, Inc.",2025-03-06,0.4,2025-05-29,0.4,,,,,,,,,Expedia Inc (NEEDS REVIEW)
GS,"Goldman Sachs Group, Inc. (The)",2024-02-28,2.75,2024-05-30,2.75,2024-08-30,3.0,2024-12-02,3.0,2025-02-28,3.0,2025-05-30,3.0,Goldman Sachs Group Inc/The (NEEDS REVIEW)
INTC,Intel Corporation,2024-02-06,0.125,2024-05-06,0.125,2024-08-07,0.125,,,,,,,S-1 CORPORATION (NEEDS REVIEW)
NWSA,News Corporation,2024-03-12,0.1,2024-09-11,0.1,2025-03-12,0.1,,,,,,,S-1 CORPORATION (NEEDS REVIEW)
TGT,Target Corporation,2024-02-20,1.1,2024-05-14,1.1,2024-08-21,1.12,2024-11-20,1.12,2025-02-12,1.12,2025-05-14,1.12,Target Corp (NEEDS REVIEW)
WFC,Wells Fargo & Company,2024-02-01,0.35,2024-05-09,0.35,2024-08-09,0.4,2024-11-08,0.4,2025-02-07,0.4,2025-05-09,0.4,Wells Fargo & Co (NEEDS REVIEW)
004000.KS,LOTTE Fine Chem,2025-03-28,1400.0,,,,,,,,,,,LOTTE Fine Chemical Co Ltd (NEEDS REVIEW)
KMB,Kimberly-Clark Corporation,2024-03-07,1.22,2024-06-07,1.22,2024-09-06,1.22,2024-12-06,1.22,2025-03-07,1.26,,,Cigna Corporation (NEEDS REVIEW)
2382.TW,QUANTA COMPUTER,2024-04-12,9.0,,,,,,,,,,,QUANTA COMPUTER INC (NEEDS REVIEW)
267250.KS,HD HYUNDAI,2024-03-28,900.0,2024-06-27,900.0,2024-09-27,900.0,2025-02-27,900.0,2025-03-28,900.0,,,HYUNDAI MOTOR (NEEDS REVIEW)
