date,sentiment,stock_price
2024-06-17,0.4588,114.30999755859375
2024-06-21,0.4588,115.33999633789062
2024-06-24,0.4847,116.29000091552734
2024-06-25,0.49765000000000004,110.5
2024-06-28,0.504125,108.97000122070312
2024-07-08,0.5106,104.08999633789062
2024-07-11,0.5106,104.2300033569336
2024-07-15,0.7351,100.0
2024-07-16,-0.074,102.06999969482422
2024-07-17,-0.146776923076923,76.5
2024-07-18,-0.0324571428571428,75.75
2024-07-19,0.18216,77.30999755859375
2024-07-22,-0.2643375,78.87000274658203
2024-07-23,-0.082475,75.7699966430664
2024-07-24,0.0774857142857142,73.0
2024-07-25,-0.03992,71.75
2024-07-26,0.5386666666666667,71.97000122070312
2024-07-29,0.0998,71.91999816894531
2024-07-30,0.25415,71.58999633789062
2024-07-31,-0.1413,72.73999786376953
2024-08-01,0.0409888888888888,70.0199966430664
2024-08-02,0.1632875,69.19000244140625
2024-08-05,-0.0628,67.22000122070312
2024-08-06,-0.0693285714285714,66.36000061035156
2024-08-07,-0.1099411764705882,64.97000122070312
2024-08-08,-0.19235,66.47000122070312
2024-08-09,-0.1035249999999999,66.73999786376953
2024-08-12,-0.0901214285714285,66.7300033569336
2024-08-13,-0.1518727272727272,67.80999755859375
2024-08-14,-0.1930833333333333,68.36000061035156
2024-08-15,-0.0834055555555555,75.33000183105469
2024-08-16,-0.1645428571428571,76.95999908447266
2024-08-19,-0.1573444444444444,78.12000274658203
2024-08-20,-0.2364533333333333,77.30999755859375
2024-08-21,0.0024388888888888,80.66999816894531
2024-08-22,-0.08296,80.44000244140625
2024-08-23,-0.1570571428571428,82.45999908447266
2024-08-26,-0.0812529411764705,83.69000244140625
2024-08-27,-0.1382294117647058,82.5199966430664
2024-08-28,-0.0364363636363636,78.94000244140625
2024-08-29,-0.127735,78.23999786376953
2024-08-30,-0.067225,75.43000030517578
2024-09-03,-0.1934357142857143,76.27999877929688
2024-09-04,0.1908875,74.54000091552734
2024-09-05,-0.2175,76.05000305175781
2024-09-06,-0.18835,79.16999816894531
2024-09-09,-0.0847428571428571,84.06999969482422
2024-09-10,-0.3068909090909091,83.97000122070312
2024-09-11,-0.1526235294117646,89.58000183105469
2024-09-12,-0.1953692307692307,92.52999877929688
2024-09-13,-0.0473375,96.55999755859375
2024-09-16,-0.07352,98.91999816894531
2024-09-17,-0.0741636363636363,101.76000213623047
2024-09-18,-0.08205,100.19999694824219
2024-09-19,-0.0704133333333333,97.9800033569336
2024-09-20,-0.0391642857142857,95.41000366210938
2024-09-23,-0.1046411764705882,96.30999755859375
2024-09-24,-0.2376357142857143,93.98999786376953
2024-09-25,-0.00060625,91.04000091552734
2024-09-26,-0.15198,94.9800033569336
2024-09-27,-0.1587142857142857,92.58999633789062
2024-09-30,-0.1039099999999999,88.3499984741211
2024-10-02,-0.39235499999999995,89.05999755859375
2024-10-04,-0.5365774999999999,94.2699966430664
2024-10-07,-0.6808,91.80000305175781
2024-10-15,0.5423,93.5999984741211
2024-10-21,0.10115,91.6500015258789
2024-11-05,-0.34,93.69000244140625
2024-11-07,0.053299999999999986,91.5199966430664
2024-11-08,0.24995,86.27999877929688
2024-11-12,0.4466,83.26000213623047
2024-11-20,0.3483,83.0999984741211
2024-11-25,0.25,91.61000061035156
2024-11-26,0.19221666666666665,88.9000015258789
2024-11-27,0.16332499999999997,93.01000213623047
2024-12-04,0.1344333333333333,104.97000122070312
2024-12-05,-0.00935,115.97000122070312
2024-12-06,0.215525,112.7300033569336
2024-12-09,0.4404,111.93000030517578
2024-12-10,0.3500999999999999,109.41999816894531
2024-12-12,0.4404,103.79000091552734
2024-12-16,0.3182,105.0
2024-12-17,0.3818,105.05000305175781
2024-12-18,0.4588,106.33000183105469
2024-12-19,0.4019,107.75
2024-12-24,0.2202,107.5
2024-12-26,0.6486,112.4800033569336
2024-12-27,0.5445,109.16999816894531
2024-12-30,0.29295,104.01000213623047
2024-12-31,0.46492500000000003,104.95999908447266
2025-01-02,0.6369,99.08000183105469
2025-01-03,0.5386500000000001,97.06999969482422
2025-01-06,0.1779,101.66999816894531
2025-01-08,0.6249,99.5199966430664
2025-01-10,0.4588,103.19999694824219
2025-01-14,0.2774999999999999,94.08999633789062
2025-01-15,0.4404,94.55000305175781
2025-01-21,0.38585,95.86000061035156
2025-01-22,0.4404,92.7699966430664
2025-01-24,0.4404,95.75
2025-01-30,0.6808,96.13999938964844
2025-02-03,0.34,92.33000183105469
2025-02-21,0.3818,85.91999816894531
2025-02-24,0.178,87.52999877929688
2025-02-27,-0.0258,87.41000366210938
2025-03-05,0.0190125,85.5
2025-03-14,0.041418750000000004,73.0
2025-03-19,0.063825,75.58999633789062
2025-03-20,0.16065,76.11000061035156
2025-04-01,0.300525,76.4800033569336
2025-04-11,0.37046250000000003,60.470001220703125
2025-04-16,0.4404,62.720001220703125
2025-04-23,0.34785,74.1500015258789
2025-05-02,0.2553,84.30999755859375
2025-05-05,0.31855,82.79000091552734
2025-05-07,0.350175,82.19999694824219
2025-05-19,0.3659875,108.94000244140625
2025-05-21,0.37389375,109.11000061035156
2025-05-23,0.377846875,107.2699966430664
2025-05-27,0.3798234375,116.0999984741211
2025-05-28,0.3818,113.76000213623047
2025-05-29,0.4404,116.66999816894531
2025-06-03,0.4588,122.20999908447266
2025-06-04,0.32392,121.23999786376953
2025-06-05,0.18904,128.02000427246094
2025-06-06,0.24752000000000002,127.3499984741211
2025-06-09,0.4404,126.22000122070312
2025-06-10,0.6249,123.44999694824219
