Ticker,Name,Dividend_1_Date,Dividend_1_Amount,Dividend_2_Date,Dividend_2_Amount,Dividend_3_Date,Dividend_3_Amount,Dividend_4_Date,Dividend_4_Amount,Dividend_5_Date,Dividend_5_Amount,Dividend_6_Date,Dividend_6_Amount,Standardized_Name
3481.TW,INNOLUX CORPORATION,2024-08-15,1.2,2025-05-22,1.0,,,,,,,,,INNOLUX CORP
2301.TW,LITE-ON TECHNOLOGY CORP,2024-03-27,2.506,2024-08-19,2.0,2025-03-20,2.5066,,,,,,,LITE-ON TECHNOLOGY CORP.
0700.HK,TENCENT,2024-05-17,3.4,2025-05-16,4.5,,,,,,,,,TENCENT
0823.HK,LINK REIT,2024-06-27,1.3257,2024-11-18,1.3489,,,,,,,,,LINK REIT
2474.TW,CATCHER TECHNOLOGY,2024-07-04,5.0,2024-12-10,7.5,,,,,,,,,CATCHER TECHNOLOGY CO LTD
0696.HK,TRAVELSKY TECH,2024-06-26,0.1756,,,,,,,,,,,TRAVELSKY TECHNOLOGY LTD-H
0386.HK,SINOPEC CORP,2024-07-08,0.2194,2024-09-05,0.1593,,,,,,,,,China Petroleum & Chemical Corp
0966.HK,CHINA TAIPING,2024-07-10,0.3,,,,,,,,,,,CHINA TAIPING INSURANCE HOLD
2338.HK,WEICHAI POWER,2024-05-31,0.3225,2024-09-20,0.4061,,,,,,,,,WEICHAI POWER CO LTD-H
4938.TW,PEGATRON CORPORATION,2024-06-27,4.0006,,,,,,,,,,,PEGATRON CORP
0175.HK,GEELY AUTO,2024-06-11,0.22,,,,,,,,,,,GEELY AUTO
JD,"JD.com, Inc.",2024-04-04,0.76,2025-04-08,1.0,,,,,,,,,"JD.com, Inc."
1186.HK,CHINA RAIL CONS,2024-07-15,0.3842,,,,,,,,,,,CHINA RAILWAY GROUP LTD H
3008.TW,LARGAN PRECISION CO,2024-03-21,41.0,2024-08-15,40.0,2025-03-20,57.5,,,,,,,LARGAN PRECISION LTD
0135.HK,KUNLUN ENERGY,2024-06-03,0.3048,2024-09-09,0.1769,,,,,,,,,Kunlun Energy Co Ltd
BABA,Alibaba Group Holding Limited,2024-06-13,1.66,,,,,,,,,,,Alibaba Group Holding Limited
2020.HK,ANTA SPORTS,2024-05-13,1.15,2024-09-09,1.18,2025-05-12,1.18,,,,,,,ANTA SPORTS PRODUCTS LTD.
0390.HK,CHINA RAILWAY,2024-07-17,0.2301,,,,,,,,,,,CHINA RAILWAY GROUP LTD H
3968.HK,CM BANK,2024-07-03,2.162,,,,,,,,,,,CHINA MERCHANTS BANK CO. LTD H
0941.HK,CHINA MOBILE,2024-06-06,2.4,2024-09-02,2.6,,,,,,,,,China Mobile Limited
1800.HK,CHINA COMM CONS,2024-06-19,0.3226,2024-12-03,0.1535,,,,,,,,,CHINA COMMUNICATIONS CONST-H
2353.TW,ACER INC,2024-06-20,1.6,,,,,,,,,,,ACER INC
0883.HK,CNOOC,2024-06-13,0.66,2024-09-12,0.74,,,,,,,,,CNOOC Ltd
1038.HK,CKI HOLDINGS,2024-05-27,1.85,2024-09-12,0.72,2025-05-26,1.86,,,,,,,CHEUNG KONG INFRASTRUCTURE
1972.HK,SWIREPROPERTIES,2024-04-02,0.72,2024-09-04,0.34,2025-04-01,0.76,,,,,,,SWIREPROPERTIES
2357.HK,AVICHINA,2024-05-29,0.0967,2025-05-22,0.0884,,,,,,,,,AVICHINA INDUSTRY & TECH-H
2317.TW,HON HAI PRECISION INDUSTRY,2024-07-02,5.4,,,,,,,,,,,HON HAI PRECISION INDUSTRY LTD
0552.HK,CHINACOMSERVICE,2024-06-28,0.2386,,,,,,,,,,,CHINA COMMUNICATIONS SERVI-H
0992.HK,LENOVO GROUP,2024-07-31,0.3,2024-11-27,0.085,,,,,,,,,LENOVO GROUP LTD
2328.HK,PICC P&C,2024-07-05,0.5359,2024-10-31,0.2269,,,,,,,,,PICC P&C
0659.HK,CTF SERVICES,2024-03-08,1.79,2024-11-26,0.35,2025-03-19,0.3,,,,,,,CTF Services Ltd
3328.HK,BANKCOMM,2024-07-02,0.4111,2025-01-16,0.1967,2025-04-11,0.2151,,,,,,,"Bank of Communications Co., Ltd."
2892.TW,FIRST FINANCIAL HOLDING CO LTD,2024-08-08,0.85,,,,,,,,,,,FIRST FINANCIAL HOLDING CO
1199.HK,COSCO SHIP PORT,2024-04-15,0.155,2024-09-11,0.122,2025-04-03,0.142,,,,,,,COSCO SHIPPING Ports Ltd
1088.HK,CHINA SHENHUA,2024-06-27,2.491,,,,,,,,,,,CHINA SHENHUA ENERGY CO-H
2601.HK,CPIC,2024-06-12,1.1214,,,,,,,,,,,CPIC
3311.HK,CHINA STATE CON,2024-06-17,0.285,2024-09-16,0.33,,,,,,,,,CHINA STATE CONSTRUCTION INTERNATI
0101.HK,HANG LUNG PPT,2024-05-08,0.6,2024-08-14,0.12,2025-05-07,0.4,,,,,,,HANG LUNG PROPERTIES LTD
0586.HK,CONCH VENTURE,2024-07-04,0.2,2024-10-17,0.1,,,,,,,,,CHINA CONCH VENTURE HOLDINGS LTD
2379.TW,REALTEK SEMICONDUCTOR CORP,2024-09-05,15.5,,,,,,,,,,,REALTEK SEMICONDUCTOR CORP
1919.HK,COSCO SHIP HOLD,2024-05-31,0.2526,2024-10-08,0.5691,2025-05-30,1.122,,,,,,,CHINA COSCO HOLDINGS-H
2834.TW,TAIWAN BUSINESS BANK,2024-08-08,0.2,,,,,,,,,,,TAIWAN BUSINESS BANK
3034.TW,NOVATEK MICROELECTRONICS,2024-07-10,32.0,,,,,,,,,,,NOVATEK MICROELECTRONICS CORP.
2883.TW,KGI FINANCIAL HOLDING CO LTD,2024-07-01,0.5006,,,,,,,,,,,KGI FINANCIAL HOLDING CO LTD
VIPS,Vipshop Holdings Limited,2024-03-14,0.43,,,,,,,,,,,VIPSHOP HOLDINGS
2238.HK,GAC GROUP,2024-06-03,0.1099,2024-09-12,0.0328,,,,,,,,,Guangzhou Automobile Group Co Ltd
0004.HK,WHARF HOLDINGS,2024-04-09,0.2,2024-08-27,0.2,2025-04-03,0.2,,,,,,,WHARF HOLDINGS LTD
