Product_ID,Product_Name,Date,Transaction_Type,Units,Cumulative_Quantity
1045649,Amazon.com Inc,2025-03-26,SELL,1373.0,0.0
1009490,American International Group Inc,2022-07-15,BUY,103843.0,103843.0
1009490,American International Group Inc,2025-03-26,SELL,103843.0,0.0
1045692,Amgen Inc,2025-01-21,BUY,2.0,2.0
1045692,Amgen Inc,2025-01-21,BUY,14302.0,14304.0
1045692,Amgen Inc,2025-03-26,BUY,2.0,14306.0
1045692,Amgen Inc,2025-03-26,BUY,143434.0,157740.0
1045873,Amphenol Corp,2025-03-26,BUY,12.0,12.0
1045873,Amphenol Corp,2025-03-26,BUY,860602.0,860614.0
1045664,Analog Devices Inc,2024-06-03,BUY,126235.0,126235.0
1045664,Analog Devices Inc,2024-06-03,BUY,126235.0,252470.0
1045664,Analog Devices Inc,2025-01-21,BUY,8.0,252478.0
1045664,Analog Devices Inc,2025-01-21,SELL,69745.0,182733.0
1045664,Analog Devices Inc,2025-03-26,SELL,126235.0,56498.0
1045861,Apache Corp,2022-09-29,BUY,2262760.0,2262760.0
1045861,Apache Corp,2024-06-03,SELL,2262760.0,0.0
1009079,Apple Inc,2021-06-29,BUY,340357.0,340357.0
1009079,Apple Inc,2021-06-30,BUY,340357.0,680714.0
1009079,Apple Inc,2025-01-21,BUY,64.0,680778.0
1009079,Apple Inc,2025-01-21,BUY,118986.0,799764.0
1009079,Apple Inc,2025-03-26,SELL,340357.0,459407.0
1045826,Archer-Daniels-Midland Co,2024-06-03,BUY,133251.0,133251.0
1045826,Archer-Daniels-Midland Co,2025-03-26,SELL,133251.0,0.0
1046595,Arthur J Gallagher & Co,2021-06-29,BUY,35159.0,35159.0
1046595,Arthur J Gallagher & Co,2024-05-02,SELL,35159.0,0.0
1046853,BAIC MOTOR-H,2025-01-20,BUY,663380.0,663380.0
1046853,BAIC MOTOR-H,2025-01-20,BUY,1601391.0,2264771.0
1046853,BAIC MOTOR-H,2025-01-20,BUY,663380.0,2928151.0
1046853,BAIC MOTOR-H,2025-01-20,BUY,1000.0,2929151.0
1046605,BEIJING ENTERPRISES HOLDINGS LTD.,2017-02-28,BUY,128028.0,128028.0
