date,sentiment,stock_price
2024-06-11,0.7282500000000001,2811.030029296875
2024-06-12,0.4646,2817.929931640625
2024-06-14,0.332775,2835.820068359375
2024-06-20,0.20095,3008.22998046875
2024-06-25,0.406675,2936.409912109375
2024-07-03,0.5095375,2844.8798828125
2024-07-08,0.5445500000000001,2836.39990234375
2024-07-19,0.4767,2950.39990234375
2024-07-24,0.5445500000000001,2941.72998046875
2024-07-25,0.5784750000000001,3030.969970703125
2024-07-29,0.5954375000000001,3072.659912109375
2024-07-30,0.6039187500000001,3108.39990234375
2024-07-31,0.6081593750000001,3133.68994140625
2024-08-06,0.6102796875000001,3119.590087890625
2024-08-07,0.6113398437500001,3084.340087890625
2024-08-09,0.6124,3120.25
2024-08-12,-0.4215,3148.60009765625
2024-08-14,0.044550000000000034,3196.419921875
2024-08-19,0.277575,3172.179931640625
2024-08-23,0.39408750000000003,3125.669921875
2024-08-26,0.5106,3157.10009765625
2024-08-27,0.51865,3181.85009765625
2024-08-28,0.522675,3196.699951171875
2024-08-30,0.5267,3181.47998046875
2024-09-05,0.296,3141.169921875
2024-09-09,0.3454,3120.5
2024-09-11,0.10869999999999999,3119.31005859375
2024-09-13,-0.128,3123.360107421875
2024-09-16,0.318,3101.0400390625
2024-09-17,0.4215,3078.31005859375
2024-09-19,0.2623681818181818,3040.090087890625
2024-09-20,0.18280227272727267,3020.659912109375
2024-09-24,0.1032363636363636,3043.969970703125
2024-09-25,0.37505,3108.969970703125
2024-09-26,0.2023,3189.090087890625
2024-09-30,0.4767,3150.0400390625
2024-10-01,0.3021,3172.97998046875
2024-10-02,-0.4215,3083.429931640625
2024-10-03,-0.4215,3066.919921875
2024-10-09,0.148,3146.070068359375
2024-10-11,0.4767,3129.780029296875
2024-10-15,-0.6369,3100.0
2024-10-16,-0.261875,3128.639892578125
2024-10-17,-0.07436250000000001,3158.0
2024-10-22,0.11315,3172.050048828125
2024-10-23,0.5267,3196.550048828125
2024-10-24,0.06959999999999997,3153.25
2024-10-29,-0.3875,3060.889892578125
2024-11-01,-0.11975000000000001,2981.18994140625
2024-11-04,0.148,3046.35009765625
2024-11-05,0.179375,3059.830078125
2024-11-07,0.21075,3150.179931640625
2024-11-12,-0.124025,3175.719970703125
2024-11-14,-0.4588,3136.06005859375
2024-11-15,0.1591,3107.530029296875
2024-11-18,0.19269999999999998,3166.929931640625
2024-11-19,0.2095,3106.909912109375
2024-11-25,0.21789999999999998,3109.56005859375
2024-11-27,0.2221,3190.10009765625
2024-12-02,0.2263,3179.52001953125
2024-12-03,0.1409590909090909,3189.5
2024-12-06,0.09828863636363636,3309.43994140625
2024-12-10,0.0556181818181818,3347.159912109375
2024-12-11,0.6597,3342.719970703125
2024-12-12,-0.07655,3340.47998046875
2024-12-16,0.200075,3350.1298828125
2024-12-17,0.3383875,3319.110107421875
2024-12-19,0.40754375,3215.2900390625
2024-12-30,0.4767,3185.7099609375
2025-01-02,0.40290000000000004,3250.0
2025-01-07,0.366,3259.909912109375
2025-01-10,0.338325,3251.320068359375
2025-01-13,0.3291,3239.6201171875
2025-01-14,0.12683333333333335,3227.800048828125
2025-01-17,0.02570000000000003,3228.39990234375
2025-01-22,-0.024866666666666634,3326.010009765625
2025-01-23,-0.050149999999999965,3373.570068359375
2025-01-27,-0.06279166666666663,3372.820068359375
2025-02-03,-0.06911249999999997,3432.199951171875
2025-02-04,-0.0754333333333333,3459.0
2025-02-10,0.12138333333333334,3427.550048828125
2025-02-11,0.3182,3445.7900390625
2025-02-14,0.4767,3458.550048828125
2025-02-19,0.2263,3396.4599609375
2025-02-20,0.12605,3406.659912109375
2025-02-21,0.0258,3368.97998046875
2025-02-25,0.4577,3425.60009765625
2025-02-26,0.4215,3392.969970703125
2025-03-03,0.2023,3477.760009765625
2025-03-04,-0.0322,3473.659912109375
2025-03-05,0.8402,3555.8798828125
2025-03-07,-0.2263,3614.969970703125
2025-03-13,0.6369,3545.64990234375
2025-03-14,0.44345,3554.909912109375
2025-03-17,0.25,3620.820068359375
2025-03-21,0.2616,3606.340087890625
2025-03-24,0.2732,3657.820068359375
2025-03-27,0.4215,3828.110107421875
2025-03-28,0.2302666666666666,3771.0
2025-03-31,0.5267,3812.780029296875
2025-04-01,-0.03705,3813.27001953125
2025-04-03,0.1065666666666666,3826.14990234375
2025-04-09,0.2665333333333333,3575.1201171875
2025-04-14,0.2202,3680.780029296875
2025-04-17,0.2023,3603.469970703125
2025-04-22,0.5859,3678.659912109375
2025-04-23,0.39285,3652.110107421875
2025-04-24,0.296325,3609.64990234375
2025-04-28,0.1998,3617.909912109375
2025-04-30,0.17945,3762.60009765625
2025-05-02,0.1591,3756.330078125
2025-05-09,0.47485,3663.72998046875
2025-05-13,0.34,3644.75
2025-05-16,0.27115,3786.419921875
2025-05-19,0.2023,3879.969970703125
2025-05-20,0.3645,3880.14990234375
2025-05-21,0.5267,3872.60009765625
2025-05-22,0.2263,3859.25
2025-05-23,0.10692500000000005,3826.4599609375
2025-05-27,-0.0124499999999999,3695.659912109375
2025-05-28,0.18467500000000003,3744.419921875
2025-05-29,0.28323750000000003,3689.6298828125
2025-05-30,0.33251875,3733.0400390625
2025-06-03,0.4767,3748.0
