date,sentiment,stock_price
2024-10-07,0.3454,145.02146911621094
2024-10-08,0.0948,147.27952575683594
2024-10-09,0.100475,150.20913696289062
2024-10-10,0.050175,151.8053436279297
2024-10-11,0.3435375,154.2288818359375
2024-10-14,0.1646333333333333,153.751953125
2024-10-15,0.21808,156.39932250976562
2024-10-16,-0.1366,154.62791442871094
2024-10-18,0.032850000000000004,152.65211486816406
2024-10-21,0.0426666666666666,146.88047790527344
2024-10-22,0.3636285714285714,145.20639038085938
2024-10-23,0.2936333333333333,144.0968475341797
2024-10-24,0.2659916666666666,146.16995239257812
2024-10-25,0.23835,147.12379455566406
2024-10-28,0.33104999999999996,145.31346130371094
2024-10-29,0.4120999999999999,143.9800262451172
2024-10-30,0.18586,144.55429077148438
2024-10-31,0.293825,146.03369140625
2024-11-01,0.43825,146.8123321533203
2024-11-04,0.34780833333333333,145.9850311279297
2024-11-05,0.2573666666666667,146.9583282470703
2024-11-06,0.38388333333333335,143.35711669921875
2024-11-07,0.5104,146.88047790527344
2024-11-08,0.35635,145.78065490722656
2024-11-11,0.125,149.18719482421875
2024-11-12,-0.04925,151.49388122558594
2024-11-13,-0.136375,150.8515167236328
2024-11-14,-0.2235,149.37210083007812
2024-11-15,0.1646333333333333,148.06790161132812
2024-11-18,0.2980222222222222,152.3795928955078
2024-11-19,0.2098571428571428,151.8345489501953
2024-11-20,0.0404066666666666,119.32659149169922
2024-11-21,-0.0030555555555555,119.19914245605469
2024-11-22,0.33418,122.5519027709961
2024-11-25,0.1992375,127.9633560180664
2024-11-26,0.1266999999999999,124.06161499023438
2024-11-27,-0.0559399999999999,127.5320053100586
2024-11-29,0.1242545454545454,129.70834350585938
2024-12-02,0.056575,128.1496124267578
2024-12-03,0.19355,128.86524963378906
2024-12-04,-0.0147999999999999,127.51241302490234
2024-12-05,0.1317666666666666,126.63009643554688
2024-12-06,0.10115,129.78677368164062
2024-12-09,0.1528499999999999,132.6297607421875
2024-12-10,0.24265,132.3944854736328
2024-12-11,0.1917428571428571,133.30618286132812
2024-12-12,0.4692333333333333,132.6297607421875
2024-12-13,0.26335,131.87489318847656
2024-12-16,0.36392499999999994,129.84561157226562
2024-12-17,0.3974499999999999,129.01231384277344
2024-12-18,0.4835,128.1300048828125
2024-12-19,0.5292,127.86531829833984
2024-12-20,0.39548,128.89466857910156
2024-12-23,0.26176,129.32601928710938
2024-12-24,0.10115,129.7965850830078
2024-12-26,0.49495,133.7081298828125
2024-12-30,0.2027,132.3944854736328
2024-12-31,0.6369,132.52191162109375
2025-01-02,0.3908,134.49240112304688
2025-01-03,0.24695,133.11993408203125
2025-01-06,0.765,136.5511016845703
2025-01-07,0.318575,136.51190185546875
2025-01-08,-0.20895,135.5021514892578
2025-01-10,0.3006,138.8352813720703
2025-01-13,0.20095,136.0413360595703
2025-01-14,0.1591,133.78656005859375
2025-01-15,0.2344666666666666,131.88470458984375
2025-01-16,0.1450083333333333,130.62986755371094
2025-01-17,0.20095,130.9827880859375
2025-01-21,0.07015,134.63943481445312
2025-01-22,0.4793,133.10032653808594
2025-01-23,0.4019,134.5512237548828
2025-01-24,0.0846333333333333,135.1786346435547
2025-01-27,0.5141666666666667,139.69798278808594
2025-01-28,-0.19375,138.2863006591797
2025-01-29,0.1780666666666666,137.3353729248047
2025-01-30,0.0510333333333333,137.67849731445312
2025-01-31,-0.0207999999999999,135.1982421875
2025-02-03,0.2049599999999999,131.52198791503906
2025-02-04,0.0643888888888888,132.9336700439453
2025-02-05,-0.1917,132.55133056640625
2025-02-06,0.1159181818181818,132.03175354003906
2025-02-07,0.1169999999999999,128.76724243164062
2025-02-10,-0.023,128.6986083984375
2025-02-11,0.2294,129.84561157226562
2025-02-12,0.2819,126.05889129638672
2025-02-13,0.20645,127.1266860961914
2025-02-14,0.1183499999999999,126.4345932006836
2025-02-18,0.11895,128.63938903808594
2025-02-19,0.1426666666666666,129.27215576171875
2025-02-20,0.129075,126.68177032470703
2025-02-21,0.2196,122.86539459228516
2025-02-24,0.39394,124.34844207763672
2025-02-25,0.261890909090909,125.95013427734375
2025-02-26,-0.0286749999999999,122.63800048828125
2025-02-27,0.1482818181818181,121.11540222167969
2025-02-28,0.1232375,122.83573150634766
2025-03-03,0.2311076923076923,119.39507293701172
2025-03-04,0.1710714285714285,115.81598663330078
2025-03-05,0.2558733333333333,115.24253845214844
2025-03-06,0.55975,112.76091766357422
2025-03-07,0.0929857142857143,113.7792739868164
2025-03-10,0.2625714285714285,112.56317138671875
2025-03-11,0.2395,111.4854965209961
2025-03-12,0.0346749999999999,106.06742858886719
2025-03-13,0.04284,103.31885528564453
2025-03-14,0.438025,103.51659393310547
2025-03-17,0.4427999999999999,104.47563171386719
2025-03-18,0.0525666666666666,103.4078369140625
2025-03-19,0.5538,103.7538833618164
2025-03-20,0.293875,103.0222396850586
2025-03-21,0.4191666666666667,102.88382720947266
2025-03-24,0.43374,107.12533569335938
2025-03-25,0.1703875,104.20868682861328
2025-03-26,0.7077,104.89087677001953
2025-03-27,0.1357,105.30613708496094
2025-03-28,-0.1711333333333332,102.47846221923828
2025-03-31,-0.11505,103.18043518066406
2025-04-01,0.27185,103.24964904785156
2025-04-02,0.27865,104.57449340820312
2025-04-03,-0.0594375,93.21437072753906
2025-04-04,0.217175,94.63809204101562
2025-04-07,-0.0772,93.31324005126953
2025-04-08,0.23835,87.75675964355469
2025-04-09,-0.0181333333333333,96.58583068847656
2025-04-10,0.0258833333333333,91.66211700439453
2025-04-11,-0.0240333333333333,91.7313232421875
